"id","var","nums","yvs","pTMEAN","tauTMEAN","pPRCP","tauPRCP","ppH","taupH","pANC","tauANC","pSO4","tauSO4","pNO3","tauNO3","pNH4","tauNH4","ptotN","tautotN"
"ws1_volwt_Casd","ws1_volwt_Ca",1,"sd",0.348745795355903,0.157635480165482,0.883978540534215,-0.0344827622175217,0.00100752456532116,0.503705322742462,0.000907143983623069,0.507389187812805,0.000353710991995675,-0.541871964931488,0.00222324631576027,-0.467980325222015,0.0790687992087014,-0.280788213014603,0.00173750609004249,-0.477832555770874
"ws1_volwt_Cask","ws1_volwt_Ca",1,"sk",0.655387310670897,0.0837438479065895,0.287112658536887,0.177339911460876,0.154958418568664,0.232099503278732,0.0962685359532818,0.266009867191315,0.404428452040163,-0.142857149243355,0.0845447917507119,-0.275862097740173,0.258488225001915,-0.187192127108574,0.110026608633648,-0.256157666444778
"ws1_volwt_NO3ac","ws1_volwt_NO3",6,"ac",0.814676877322381,-0.0523076988756657,0.715015581840478,-0.0769230872392654,0.299284313261047,0.18490007519722,0.227869037085087,0.212307706475258,0.242574955793035,-0.206153869628906,0.385992028215806,-0.156923085451126,0.655387310670897,-0.0892307758331299,0.409299421785227,-0.150769248604774
"ws1_volwt_NO3kt","ws1_volwt_NO3",6,"kt",0.477910145469334,0.132307708263397,0.139429953178876,0.255384653806686,0.00143532752990723,0.517720222473145,0.00106261117117746,0.532307744026184,0.0221427854533507,-0.378461569547653,0.00581934055821462,-0.452307730913162,0.364015779411828,-0.163076937198639,0.0200094721516612,-0.384615421295166
"ws1_volwt_NO3sd","ws1_volwt_NO3",6,"sd",0.870359820431458,-0.0400000028312206,0.454246458116469,-0.138461545109749,0.906695301775818,-0.0308166779577732,0.977019750465781,0.0153846172615886,0.63127230284957,-0.0953846275806427,0.977019750465781,0.0153846172615886,0.814676877322381,-0.0523076988756657,0.983678768742121,0.00923077017068863
"ws1_volwt_NO3sk","ws1_volwt_NO3",6,"sk",0.210483761854946,0.218461558222771,0.117935016507008,0.26769232749939,2.23726839632601e-05,0.690293610095978,6.70703489388993e-05,0.643076956272125,0.000704154179136201,-0.5507692694664,0.000273824945621777,-0.587692379951477,0.0928301543979854,-0.286153882741928,0.000805533906199442,-0.54461544752121
"ws2_flux_Caac","ws2_flux_Ca",12,"ac",0.506261529985643,-0.130434796214104,0.164679830310909,0.253623217344284,0.983678768742121,0.0108893103897572,0.801097709299897,-0.0579710192978382,0.506261529985643,0.130434796214104,0.771219698441221,0.0652173981070518,0.655387310670897,0.0942029058933258,0.866173579775054,0.0434782654047012
"ws2_flux_Cakt","ws2_flux_Ca",12,"kt",0.745682396978702,0.0724637731909752,0.430161664202497,0.152173936367035,0.0178542562050394,0.410164028406143,0.0382221587716717,0.362318873405457,0.0239063216881319,-0.391304403543472,0.0962186314181824,-0.297101467847824,0.293298021753006,-0.195652201771736,0.0882896190291052,-0.30434787273407
"ws2_flux_Casd","ws2_flux_Ca",12,"sd",0.0728529550452933,-0.318840622901917,0.655387310670897,-0.0942029058933258,8.39911915724823e-06,-0.773141026496887,2.97390521485464e-05,-0.710144996643066,3.87018377130682e-05,0.69565224647522,1.7390531652114e-05,0.731884121894836,0.0101776559844272,0.442029029130936,3.87018377130682e-05,0.69565224647522
"ws2_flux_Cask","ws2_flux_Ca",12,"sk",0.655387310670897,-0.0942029058933258,0.983304661870379,-0.0144927548244596,1,0.00362977012991905,0.993227100469728,-0.00724637741222978,0.954202224503459,-0.0217391327023506,0.569344884699041,0.115942038595676,0.355083930509906,0.173913061618805,0.59638671875,0.108695663511753
